,日期,省,省确诊,省治愈,省死亡,市,确诊,治愈,死亡
0,2020-02-17,广东省,1322,524,4,东莞,89,19,1
0,2020-02-17,广东省,1322,524,4,佛山,84,23,0
0,2020-02-17,广东省,1322,524,4,珠海,97,41,0
0,2020-02-17,广东省,1322,524,4,中山,66,39,0
0,2020-02-17,广东省,1322,524,4,惠州,58,34,0
0,2020-02-17,广东省,1322,524,4,江门,23,5,0
0,2020-02-17,广东省,1322,524,4,汕头,25,14,0
0,2020-02-17,广东省,1322,524,4,湛江,22,11,0
0,2020-02-17,广东省,1322,524,4,茂名,14,3,0
0,2020-02-17,广东省,1322,524,4,肇庆,17,8,1
0,2020-02-17,广东省,1322,524,4,梅州,16,8,0
0,2020-02-17,广东省,1322,524,4,韶关,10,4,0
0,2020-02-17,广东省,1322,524,4,阳江,13,9,0
0,2020-02-17,广东省,1322,524,4,揭阳,8,4,0
0,2020-02-17,广东省,1322,524,4,潮州,5,1,0
0,2020-02-17,广东省,1322,524,4,清远,12,9,0
0,2020-02-17,广东省,1322,524,4,汕尾,5,2,0
0,2020-02-17,广东省,1322,524,4,河源,4,1,0
0,2020-02-17,广东省,1322,524,4,待明确地区,0,5,0
0,2020-02-17,黑龙江省,457,85,11,哈尔滨,188,32,3
0,2020-02-17,黑龙江省,457,85,11,双鸭山,50,4,2
0,2020-02-17,黑龙江省,457,85,11,鸡西,46,2,0
0,2020-02-17,黑龙江省,457,85,11,齐齐哈尔,42,10,1
0,2020-02-17,黑龙江省,457,85,11,绥化,46,14,4
0,2020-02-17,黑龙江省,457,85,11,大庆,20,4,1
0,2020-02-17,黑龙江省,457,85,11,黑河,14,0,0
0,2020-02-17,黑龙江省,457,85,11,七台河,16,4,0
0,2020-02-17,黑龙江省,457,85,11,牡丹江,12,1,0
0,2020-02-17,黑龙江省,457,85,11,佳木斯,15,11,0
0,2020-02-17,黑龙江省,457,85,11,鹤岗,5,2,0
0,2020-02-17,黑龙江省,457,85,11,大兴安岭,2,1,0
0,2020-02-17,黑龙江省,457,85,11,伊春,1,0,0
0,2020-02-17,江苏省,626,258,0,南京,92,32,0
0,2020-02-17,江苏省,626,258,0,苏州,86,31,0
0,2020-02-17,江苏省,626,258,0,徐州,79,42,0
0,2020-02-17,江苏省,626,258,0,淮安,65,28,0
0,2020-02-17,江苏省,626,258,0,无锡,55,19,0
0,2020-02-17,江苏省,626,258,0,连云港,48,13,0
0,2020-02-17,江苏省,626,258,0,常州,49,20,0
0,2020-02-17,江苏省,626,258,0,南通,40,17,0
0,2020-02-17,江苏省,626,258,0,泰州,37,20,0
