,日期,省,省确诊,省治愈,省死亡,市,新增确诊,新增治愈,新增死亡,确诊,治愈,死亡
247,2020-02-18,北京市,387,122,4,房山区,0,0,0,16,3,0
248,2020-02-18,北京市,387,122,4,石景山区,0,0,0,14,1,0
249,2020-02-18,北京市,387,122,4,东城区,0,0,0,12,1,0
250,2020-02-18,北京市,387,122,4,顺义区,0,0,0,10,0,0
251,2020-02-18,北京市,387,122,4,怀柔区,0,0,0,7,0,0
252,2020-02-18,北京市,387,122,4,密云区,0,0,0,7,0,0
253,2020-02-18,北京市,387,122,4,门头沟区,0,0,0,3,0,0
254,2020-02-18,北京市,387,122,4,延庆区,0,0,0,1,0,0
255,2020-02-18,北京市,387,122,4,待明确地区,0,8,0,0,109,4
256,2020-02-18,内蒙古自治区,73,8,0,包头,0,0,0,11,0,0
257,2020-02-18,内蒙古自治区,73,8,0,鄂尔多斯,0,0,0,11,3,0
258,2020-02-18,内蒙古自治区,73,8,0,巴彦淖尔,0,0,0,8,0,0
259,2020-02-18,内蒙古自治区,73,8,0,赤峰,0,0,0,9,2,0
260,2020-02-18,内蒙古自治区,73,8,0,锡林郭勒盟,0,0,0,8,1,0
261,2020-02-18,内蒙古自治区,73,8,0,呼和浩特,0,0,0,7,0,0
262,2020-02-18,内蒙古自治区,73,8,0,通辽,1,0,0,7,0,0
263,2020-02-18,内蒙古自治区,73,8,0,呼伦贝尔,0,0,0,6,1,0
264,2020-02-18,内蒙古自治区,73,8,0,乌兰察布,0,0,0,3,1,0
265,2020-02-18,内蒙古自治区,73,8,0,乌海市,0,0,0,2,0,0
266,2020-02-18,内蒙古自治区,73,8,0,兴安盟,0,0,0,1,0,0
267,2020-02-18,江西省,933,310,1,南昌,1,6,0,229,95,0
268,2020-02-18,江西省,933,310,1,九江,1,8,0,118,30,0
269,2020-02-18,江西省,933,310,1,上饶,0,4,0,123,39,0
270,2020-02-18,江西省,933,310,1,新余,0,2,0,129,46,0
271,2020-02-18,江西省,933,310,1,宜春,0,6,0,106,30,0
272,2020-02-18,江西省,933,310,1,赣州,0,2,0,76,20,1
273,2020-02-18,江西省,933,310,1,抚州,0,6,0,72,28,0
274,2020-02-18,江西省,933,310,1,萍乡,0,1,0,33,6,0
275,2020-02-18,江西省,933,310,1,鹰潭,0,0,0,18,3,0
276,2020-02-18,江西省,933,310,1,吉安,1,0,0,22,10,0
277,2020-02-18,江西省,933,310,1,景德镇,0,0,0,6,3,0
278,2020-02-18,江西省,933,310,1,赣江新区,0,0,0,1,0,0
279,2020-02-18,浙江省,1172,514,0,温州,1,0,0,504,194,0
280,2020-02-18,浙江省,1172,514,0,宁波,0,5,0,156,68,0
281,2020-02-18,浙江省,1172,514,0,台州,0,0,0,146,64,0
282,2020-02-18,浙江省,1172,514,0,杭州,0,1,0,168,94,0
283,2020-02-18,浙江省,1172,514,0,嘉兴,0,1,0,43,14,0
284,2020-02-18,浙江省,1172,514,0,金华,0,0,0,55,30,0
285,2020-02-18,浙江省,1172,514,0,绍兴,0,0,0,42,19,0
286,2020-02-18,浙江省,1172,514,0,衢州,0,0,0,21,10,0
287,2020-02-18,浙江省,1172,514,0,丽水,0,0,0,17,11,0
288,2020-02-18,浙江省,1172,514,0,舟山,0,0,0,10,5,0
289,2020-02-18,浙江省,1172,514,0,湖州,0,0,0,10,5,0
290,2020-02-18,贵州省,146,66,1,贵阳,0,2,0,36,13,0
291,2020-02-18,贵州省,146,66,1,遵义,0,2,0,32,12,0
292,2020-02-18,贵州省,146,66,1,毕节,0,1,0,23,10,0
293,2020-02-18,贵州省,146,66,1,黔南州,0,1,0,17,7,0
294,2020-02-18,贵州省,146,66,1,黔东南州,0,0,0,10,4,0
295,2020-02-18,贵州省,146,66,1,六盘水,0,3,0,10,6,1
296,2020-02-18,贵州省,146,66,1,安顺,0,0,0,4,1,0
297,2020-02-18,贵州省,146,66,1,铜仁,0,0,0,10,9,0
298,2020-02-18,贵州省,146,66,1,黔西南州,0,0,0,4,4,0
299,2020-02-18,新疆维吾尔自治区,76,12,1,乌鲁木齐,0,0,0,23,4,0
300,2020-02-18,新疆维吾尔自治区,76,12,1,伊犁州,0,0,0,18,4,0
301,2020-02-18,新疆维吾尔自治区,76,12,1,兵团第四师,0,0,0,10,0,0
302,2020-02-18,新疆维吾尔自治区,76,12,1,兵团第九师,0,0,0,4,0,0
303,2020-02-18,新疆维吾尔自治区,76,12,1,昌吉州,0,0,0,4,0,0
304,2020-02-18,新疆维吾尔自治区,76,12,1,巴州,0,0,0,3,0,0
305,2020-02-18,新疆维吾尔自治区,76,12,1,兵团第十二师,0,0,0,3,0,0
306,2020-02-18,新疆维吾尔自治区,76,12,1,吐鲁番市,0,0,0,3,1,0
307,2020-02-18,新疆维吾尔自治区,76,12,1,兵团第八师石河子市,1,0,0,4,1,1
308,2020-02-18,新疆维吾尔自治区,76,12,1,兵团第六师五家渠市,0,0,0,2,0,0
309,2020-02-18,新疆维吾尔自治区,76,12,1,兵团第七师,0,0,0,1,1,0
310,2020-02-18,新疆维吾尔自治区,76,12,1,阿克苏地区,0,0,0,1,1,0
311,2020-02-18,福建省,292,91,0,福州,2,0,0,71,26,0
312,2020-02-18,福建省,292,91,0,莆田,0,0,0,55,17,0
313,2020-02-18,福建省,292,91,0,泉州,0,0,0,46,13,0
314,2020-02-18,福建省,292,91,0,厦门,0,0,0,35,9,0
315,2020-02-18,福建省,292,91,0,宁德,0,0,0,25,6,0
316,2020-02-18,福建省,292,91,0,南平,0,0,0,20,7,0
317,2020-02-18,福建省,292,91,0,漳州,0,0,0,20,8,0
